Name,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
Foxe USD,FOXE-USD,2023-08-16,0.0,0.0,0.0,0.0,0.0,5
Foxe USD,FOXE-USD,2023-08-17,0.0,0.0,0.0,0.0,0.0,83
Foxe USD,FOXE-USD,2023-08-18,0.0,0.0,0.0,0.0,0.0,5
Foxe USD,FOXE-USD,2023-08-20,0.0,0.0,0.0,0.0,0.0,9
Foxe USD,FOXE-USD,2023-08-21,0.0,0.0,0.0,0.0,0.0,126
Foxe USD,FOXE-USD,2023-08-22,0.0,0.0,0.0,0.0,0.0,152
Foxe USD,FOXE-USD,2023-08-24,0.0,0.0,0.0,0.0,0.0,27
Foxe USD,FOXE-USD,2023-08-26,0.0,0.0,0.0,0.0,0.0,290
Foxe USD,FOXE-USD,2023-08-27,0.0,0.0,0.0,0.0,0.0,15
Foxe USD,FOXE-USD,2023-08-28,0.0,0.0,0.0,0.0,0.0,12
Foxe USD,FOXE-USD,2023-08-29,0.0,0.0,0.0,0.0,0.0,48
Foxe USD,FOXE-USD,2023-08-30,0.0,0.0,0.0,0.0,0.0,39
Foxe USD,FOXE-USD,2023-08-31,0.0,0.0,0.0,0.0,0.0,348
Foxe USD,FOXE-USD,2023-09-02,0.0,0.0,0.0,0.0,0.0,11
Foxe USD,FOXE-USD,2023-09-03,0.0,0.0,0.0,0.0,0.0,30
Foxe USD,FOXE-USD,2023-09-09,0.0,0.0,0.0,0.0,0.0,40
Foxe USD,FOXE-USD,2023-09-11,0.0,0.0,0.0,0.0,0.0,73
Foxe USD,FOXE-USD,2023-09-13,0.0,0.0,0.0,0.0,0.0,6
Foxe USD,FOXE-USD,2023-09-14,4.90815055265159e-10,4.908388140378861e-10,4.907410589005679e-10,4.908388140378861e-10,4.908388140378861e-10,5
Foxe USD,FOXE-USD,2023-09-15,4.908388140378861e-10,4.996640323717827e-10,4.908388140378861e-10,4.980154622025168e-10,4.980154622025168e-10,8
Foxe USD,FOXE-USD,2023-09-16,5.02111630051871e-10,5.02413055603057e-10,5.01814756415086e-10,5.01814756415086e-10,5.01814756415086e-10,45
Foxe USD,FOXE-USD,2023-09-17,5.02111630051871e-10,5.038642836296954e-10,4.99327024172657e-10,4.996343894170252e-10,4.996343894170252e-10,2
Foxe USD,FOXE-USD,2023-09-18,4.996114078004155e-10,4.996114078004155e-10,4.96187202436715e-10,4.98608654364574e-10,4.98608654364574e-10,2
Foxe USD,FOXE-USD,2023-09-19,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,2
Foxe USD,FOXE-USD,2023-09-21,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,2
Foxe USD,FOXE-USD,2023-09-22,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,4.98608654364574e-10,2
Foxe USD,FOXE-USD,2023-09-24,4.91202689634207e-10,4.91202689634207e-10,4.911813733521342e-10,4.911813733521342e-10,4.911813733521342e-10,68
Foxe USD,FOXE-USD,2023-09-25,4.871300030018233e-10,4.87162810092201e-10,4.871300030018233e-10,4.87162810092201e-10,4.87162810092201e-10,2
Foxe USD,FOXE-USD,2023-09-23,0.0,0.0,0.0,0.0,0.0,68
Foxe USD,FOXE-USD,2023-09-26,4.87162810092201e-10,4.87162810092201e-10,4.87162810092201e-10,4.87162810092201e-10,4.87162810092201e-10,2
Foxe USD,FOXE-USD,2023-09-27,4.87162810092201e-10,5.019229476488363e-10,4.87162810092201e-10,4.994737401453615e-10,4.994737401453615e-10,795
Foxe USD,FOXE-USD,2023-09-28,5.004563430333061e-10,5.118423462846522e-10,5.004563430333061e-10,5.080598719509052e-10,5.080598719509052e-10,790
Foxe USD,FOXE-USD,2023-09-29,5.080598719509053e-10,5.33211641506881e-10,5.080598719509053e-10,5.28834254165389e-10,5.28834254165389e-10,16
Foxe USD,FOXE-USD,2023-09-30,5.294283345058658e-10,5.382078671622992e-10,5.292803972878346e-10,5.301578065441959e-10,5.301578065441959e-10,222
Foxe USD,FOXE-USD,2023-10-01,5.301777350474879e-10,5.461486263236282e-10,5.269366054605484e-10,5.457793661456378e-10,5.457793661456378e-10,161
